"CD_MUN","class_values","year","area_ha"
"2103000",3,1986,318893.901513202
"2103000",4,1986,162835.133900366
"2103000",11,1986,1910.88891932373
"2103000",12,1986,22352.1681069885
"2103000",15,1986,1181.86823143311
"2103000",21,1986,4034.46237943115
"2103000",24,1986,1865.32181506348
"2103000",25,1986,4807.30479948779
"2103000",33,1986,2679.56415044906
"2103000",3,1985,319374.572191626
"2103000",4,1985,162304.299939807
"2103000",11,1985,1897.86496820068
"2103000",12,1985,21968.7445055969
"2103000",15,1985,1539.18835638428
"2103000",21,1985,4017.34058119301
"2103000",24,1985,1691.43164802856
"2103000",25,1985,5143.53460707426
"2103000",33,1985,2623.63701741353
"2103000",3,1988,316192.31474754
"2103000",4,1988,165777.996880792
"2103000",11,1988,1920.66330182495
"2103000",12,1988,22762.1163150542
"2103000",15,1988,950.572278537799
"2103000",21,1988,3912.42773961912
"2103000",24,1988,2003.57796834717
"2103000",25,1988,4527.05194368286
"2103000",33,1988,2513.89263869019
"2103000",3,1987,316887.747911615
"2103000",4,1987,164963.824328524
"2103000",11,1987,1919.50936311035
"2103000",12,1987,22498.0673345893
"2103000",15,1987,919.263983880615
"2103000",21,1987,4047.26464821167
"2103000",24,1987,1930.70880934448
"2103000",25,1987,4811.00321763306
"2103000",33,1987,2583.22416442261
"2103000",3,1989,315946.827790918
"2103000",4,1989,165865.044091577
"2103000",11,1989,1917.18905869751
"2103000",12,1989,22423.4403418274
"2103000",15,1989,1417.53349747314
"2103000",21,1989,3628.56437515869
"2103000",24,1989,2138.6275946167
"2103000",25,1989,4682.22136310425
"2103000",33,1989,2541.16570286255
"2103000",3,1991,314880.328792304
"2103000",4,1991,167265.284061292
"2103000",11,1991,1970.92903994141
"2103000",12,1991,21742.8558668823
"2103000",15,1991,2355.8082940918
"2103000",21,1991,3180.36796148071
"2103000",24,1991,2258.62226280518
"2103000",25,1991,4588.32412337646
"2103000",33,1991,2318.09338647461
"2103000",3,1990,315253.046783118
"2103000",4,1990,166669.998457758
"2103000",11,1990,1981.61537072754
"2103000",12,1990,22664.8538401611
"2103000",15,1990,1575.89082332153
"2103000",21,1990,3548.16556972656
"2103000",24,1990,2203.03370502319
