"CD_MUN","class_values","year","area_ha"
"5105200",3,2018,35288.2373247154
"5105200",4,2018,67019.8686939615
"5105200",9,2018,5959.8251412249
"5105200",11,2018,3144.86240544678
"5105200",12,2018,1181.53671641846
"5105200",15,2018,101355.317051386
"5105200",21,2018,15398.5389578064
"5105200",24,2018,319.664379424113
"5105200",25,2018,291.702593829346
"5105200",33,2018,1344.35647788998
"5105200",39,2018,37185.8746024394
"5105200",41,2018,4318.10442221484
"5105200",3,2019,35781.6138799033
"5105200",4,2019,65702.8242176419
"5105200",9,2019,6160.85894224452
"5105200",11,2019,3144.86148311768
"5105200",12,2019,1084.59058731079
"5105200",15,2019,101543.524830988
"5105200",21,2019,16497.4814520813
"5105200",24,2019,320.094272418213
"5105200",25,2019,329.097578320312
"5105200",33,2019,1351.8259901062
"5105200",39,2019,37599.4573955017
"5105200",41,2019,3291.65805925293
"5105200",3,2020,35211.6464212585
"5105200",4,2020,63130.67697146
"5105200",9,2020,6164.55870427246
"5105200",11,2020,3146.92236300463
"5105200",12,2020,1166.54785576897
"5105200",15,2020,101572.954194463
"5105200",21,2020,18109.0780183277
"5105200",24,2020,321.900087489703
"5105200",25,2020,337.24633906898
"5105200",33,2020,1300.26722258758
"5105200",39,2020,40197.8360993652
"5105200",41,2020,2148.25439251099
"2104057",3,1985,82313.2378883208
"2104057",4,1985,130246.0445005
"2104057",11,1985,189.521941349886
"2104057",12,1985,37200.1702914185
"2104057",15,1985,7893.13557016347
"2104057",21,1985,12141.6326288527
"2104057",24,1985,534.121684381103
"2104057",25,1985,329.48311953125
"2104057",33,1985,1570.67416402588
"2104057",3,1986,80438.4330389608
"2104057",4,1986,132433.63149
"2104057",11,1986,206.03462391669
"2104057",12,1986,37081.6415744253
"2104057",15,1986,7760.09274367971
"2104057",21,1986,11820.920296821
"2104057",24,1986,699.785980099236
"2104057",25,1986,360.1247519731
"2104057",33,1986,1617.35725321031
"2104057",3,1987,78272.7920171988
"2104057",4,1987,134921.295654071
"2104057",11,1987,209.23056015568
"2104057",12,1987,37005.3498349205
"2104057",15,1987,8042.60678007812
"2104057",21,1987,11366.0184518555
"2104057",24,1987,732.207759075125
"2104057",25,1987,291.38358538208
"2104057",33,1987,1577.13711887207
"2104057",3,1988,75292.3523270736
"2104057",4,1988,137659.790337243
"2104057",11,1988,209.497383680701
"2104057",12,1988,36835.11132069
"2104057",15,1988,9401.46139950985
"2104057",21,1988,10474.6507235044
"2104057",24,1988,767.116373437975
"2104057",25,1988,246.719861553742
"2104057",33,1988,1531.32202647776
"2104057",3,1989,72765.3824099745
"2104057",4,1989,140012.566774262
"2104057",11,1989,213.049223141383
"2104057",12,1989,36782.9846644959
"2104057",15,1989,10320.5817834595
"2104057",21,1989,9766.845851664
"2104057",24,1989,796.074025390625
"2104057",25,1989,213.509851678773
"2104057",33,1989,1547.02720682234
"2104057",3,1990,71673.7002800831
"2104057",4,1990,139868.615532869
"2104057",11,1990,207.810911850687
"2104057",12,1990,36713.8144099476
"2104057",15,1990,12393.371326277
"2104057",21,1990,8941.54013814279
"2104057",24,1990,861.361144455212
"2104057",25,1990,241.569918742124
"2104057",33,1990,1516.23809076559
"2104057",3,1991,69119.8527473694
"2104057",4,1991,140467.895823492
"2104057",11,1991,206.922824365234
