"muni_code" "ayear" "cover_class" "area_ha"
"2100303" "1985" 3 147832.668
"2100303" "1985" 4 39513.641
"2100303" "1985" 11 536.463
"2100303" "1985" 12 5793.574
"2100303" "1985" 15 36.811
"2100303" "1985" 21 106.871
"2100303" "1985" 24 101.144
"2100303" "1985" 25 105.52
"2100303" "1985" 33 190.454
"2100303" "1986" 3 147770.729
"2100303" "1986" 4 39600.09
"2100303" "1986" 11 532.542
"2100303" "1986" 12 5783.326
"2100303" "1986" 15 12.122
"2100303" "1986" 21 113.468
"2100303" "1986" 24 105.422
"2100303" "1986" 25 78.872
"2100303" "1986" 33 220.576
"2100303" "1987" 3 146979.62
"2100303" "1987" 4 40403.676
"2100303" "1987" 11 550.546
"2100303" "1987" 12 5779.315
"2100303" "1987" 15 4.189
"2100303" "1987" 21 120.241
"2100303" "1987" 24 106.937
"2100303" "1987" 25 59.8
"2100303" "1987" 33 212.822
"2100303" "1988" 3 147112.794
"2100303" "1988" 4 40347.332
"2100303" "1988" 11 533.343
"2100303" "1988" 12 5775.571
"2100303" "1988" 15 3.654
"2100303" "1988" 21 89.757
"2100303" "1988" 24 108.808
"2100303" "1988" 25 60.067
"2100303" "1988" 33 185.818
"2100303" "1989" 3 147021.979
"2100303" "1989" 4 40418.541
"2100303" "1989" 11 533.61
"2100303" "1989" 12 5772.095
"2100303" "1989" 15 6.774
"2100303" "1989" 21 100.989
"2100303" "1989" 24 114.066
"2100303" "1989" 25 58.73
"2100303" "1989" 33 190.363
"2100303" "1990" 3 146928.575
"2100303" "1990" 4 40502.586
"2100303" "1990" 11 535.927
"2100303" "1990" 12 5771.917
"2100303" "1990" 15 8.2
"2100303" "1990" 21 108.654
"2100303" "1990" 24 116.829
"2100303" "1990" 25 54.453
"2100303" "1990" 33 190.006
"2100303" "1991" 3 146419.75
"2100303" "1991" 4 41013.999
"2100303" "1991" 11 546.711
"2100303" "1991" 12 5778.155
"2100303" "1991" 15 15.242
"2100303" "1991" 21 87.885
"2100303" "1991" 24 121.819
"2100303" "1991" 25 50.887
"2100303" "1991" 33 182.698
"2100303" "1992" 3 146064.907
"2100303" "1992" 4 41410.822
"2100303" "1992" 11 565.34
"2100303" "1992" 12 5775.749
"2100303" "1992" 15 17.381
"2100303" "1992" 21 48.934
"2100303" "1992" 24 121.997
"2100303" "1992" 25 52.49
"2100303" "1992" 33 159.526
"2100303" "1993" 3 146109.289
"2100303" "1993" 4 41403.071
"2100303" "1993" 11 561.418
"2100303" "1993" 12 5768.085
