"muni_code" "ayear" "cover_class" "area_ha"
"1708254" "1985" 3 6240.422
"1708254" "1985" 4 28559.971
"1708254" "1985" 11 221.769
"1708254" "1985" 12 2815.209
"1708254" "1985" 15 15882.082
"1708254" "1985" 21 8097.959
"1708254" "1985" 24 70.385
"1708254" "1985" 25 555.542
"1708254" "1985" 33 2.914
"1708254" "1986" 3 6175.996
"1708254" "1986" 4 29793.879
"1708254" "1986" 11 220.444
"1708254" "1986" 12 2478.503
"1708254" "1986" 15 15782.717
"1708254" "1986" 21 7494.993
"1708254" "1986" 24 73.741
"1708254" "1986" 25 420.152
"1708254" "1986" 33 5.828
"1708254" "1987" 3 5992.331
"1708254" "1987" 4 30173.105
"1708254" "1987" 11 220.621
"1708254" "1987" 12 2422.334
"1708254" "1987" 15 16928.102
"1708254" "1987" 21 5973.223
"1708254" "1987" 24 75.772
"1708254" "1987" 25 654.321
"1708254" "1987" 33 6.446
"1708254" "1988" 3 5731.854
"1708254" "1988" 4 29835.847
"1708254" "1988" 11 220.533
"1708254" "1988" 12 2302.822
"1708254" "1988" 15 17880.435
"1708254" "1988" 21 5251.514
"1708254" "1988" 24 77.45
"1708254" "1988" 25 1139.883
"1708254" "1988" 33 5.916
"1708254" "1989" 3 6023.29
"1708254" "1989" 4 29342.069
"1708254" "1989" 11 219.208
"1708254" "1989" 12 2131.116
"1708254" "1989" 15 18082.769
"1708254" "1989" 21 5017.337
"1708254" "1989" 24 81.866
"1708254" "1989" 25 1544.98
"1708254" "1989" 33 3.621
"1708254" "1990" 3 5743.631
"1708254" "1990" 4 29160.116
"1708254" "1990" 11 218.501
"1708254" "1990" 12 2204.609
"1708254" "1990" 15 18159.906
"1708254" "1990" 21 5187.96
"1708254" "1990" 24 90.167
"1708254" "1990" 25 1678.008
"1708254" "1990" 33 3.356
"1708254" "1991" 3 5646.229
"1708254" "1991" 4 27906.15
"1708254" "1991" 11 218.148
"1708254" "1991" 12 2288.062
"1708254" "1991" 15 18959.357
"1708254" "1991" 21 5090.128
"1708254" "1991" 24 105.004
"1708254" "1991" 25 2229.466
"1708254" "1991" 33 3.709
"1708254" "1992" 3 5556.515
"1708254" "1992" 4 27630.635
"1708254" "1992" 11 218.06
"1708254" "1992" 12 2331.258
"1708254" "1992" 15 19883.146
"1708254" "1992" 21 4665.325
"1708254" "1992" 24 109.684
"1708254" "1992" 25 2047.922
"1708254" "1992" 33 3.709
"1708254" "1993" 3 5487.897
"1708254" "1993" 4 27421.056
"1708254" "1993" 11 218.148
"1708254" "1993" 12 2412.517
"1708254" "1993" 15 20939.662
"1708254" "1993" 21 4019.503
"1708254" "1993" 24 109.243
"1708254" "1993" 25 1833.813
"1708254" "1993" 33 4.416
"1708254" "1994" 3 5087.1
"1708254" "1994" 4 27715.355
"1708254" "1994" 11 218.236
"1708254" "1994" 12 2447.402
"1708254" "1994" 15 22088.188
"1708254" "1994" 21 3205.72
"1708254" "1994" 24 111.186
"1708254" "1994" 25 1570.241
"1708254" "1994" 33 2.826
"1708254" "1995" 3 5196.265
"1708254" "1995" 4 28136.245
"1708254" "1995" 11 217.795
"1708254" "1995" 12 2383.474
"1708254" "1995" 15 22503.667
"1708254" "1995" 21 3121.472
"1708254" "1995" 24 111.362
"1708254" "1995" 25 771.029
"1708254" "1995" 33 4.946
"1708254" "1996" 3 5056.836
"1708254" "1996" 4 27765.847
"1708254" "1996" 11 217.883
"1708254" "1996" 12 2495.045
"1708254" "1996" 15 22509.965
"1708254" "1996" 21 3658.312
"1708254" "1996" 24 112.422
"1708254" "1996" 25 616.17
"1708254" "1996" 33 8.036
"1708254" "1996" 41 5.739
"1708254" "1997" 3 5037.85
"1708254" "1997" 4 28012.263
"1708254" "1997" 11 216.912
"1708254" "1997" 12 2606.046
"1708254" "1997" 15 21213.833
"1708254" "1997" 21 4790.647
"1708254" "1997" 24 112.157
"1708254" "1997" 25 441.358
"1708254" "1997" 33 9.449
"1708254" "1997" 41 5.739
"1708254" "1998" 3 4923.292
"1708254" "1998" 4 27603.743
"1708254" "1998" 11 215.94
"1708254" "1998" 12 2600.036
"1708254" "1998" 15 21674.672
"1708254" "1998" 21 4862.171
"1708254" "1998" 24 112.599
"1708254" "1998" 25 438.525
"1708254" "1998" 33 9.89
"1708254" "1998" 41 5.386
"1708254" "1999" 3 4895.816
"1708254" "1999" 4 27344.728
"1708254" "1999" 11 215.234
"1708254" "1999" 12 2500.408
"1708254" "1999" 15 22013.687
"1708254" "1999" 21 4929.236
"1708254" "1999" 24 116.308
"1708254" "1999" 25 416.709
"1708254" "1999" 33 13.334
"1708254" "1999" 41 0.795
