"CD_MUN","AREA_KM2","time_taken_min","adt_start"
"2103000",5196.769,4.847,2022-03-27 22:01:20
"2103000",5196.769,4.939,2022-03-27 22:01:20
"2103000",5196.769,4.739,2022-03-27 22:06:44
"2103000",5196.769,7.914,2022-03-27 22:06:42
"2103000",5196.769,3.215,2022-03-27 22:11:41
"2103000",5196.769,3.82,2022-03-27 22:14:56
"2103000",5196.769,7.701,2022-03-27 22:14:54
"2103000",5196.769,2.377,2022-03-27 22:22:46
"2103000",5196.769,6.626,2022-03-27 22:19:12
"2103000",5196.769,2.121,2022-03-27 22:26:33
"2103000",5196.769,2.598,2022-03-27 22:28:59
"2103000",5196.769,2.219,2022-03-27 22:31:52
"2103000",5196.769,9.294,2022-03-27 22:25:29
"2103000",5196.769,5.229,2022-03-27 22:34:26
"2103000",5196.769,2.28,2022-03-27 22:39:52
"2103000",5196.769,9.02,2022-03-27 22:35:05
"2103000",5196.769,3.485,2022-03-27 22:42:18
"2103000",5196.769,1.488,2022-03-27 22:45:50
"2103000",5196.769,4.429,2022-03-27 22:48:45
"2103000",5196.769,2.018,2022-03-27 22:53:24
"2103000",5196.769,10.44,2022-03-27 22:45:12
"2103000",5196.769,2.273,2022-03-27 22:55:41
"2103000",5196.769,2.589,2022-03-27 22:58:09
"2103000",5196.769,2.727,2022-03-27 23:00:57
"2103000",5196.769,2.08,2022-03-27 23:03:50
"2103000",5196.769,13.73,2022-03-27 22:55:41
"2103000",5196.769,3.557,2022-03-27 23:05:55
"2103000",5196.769,5.361,2022-03-27 23:09:31
"2103000",5196.769,9.801,2022-03-27 23:09:31
"2103000",5196.769,5.803,2022-03-27 23:15:39
"2103000",5196.769,7.232,2022-03-27 23:21:35
"2103000",5196.769,2.22,2022-03-27 23:29:03
"2103000",5196.769,3.417,2022-03-27 23:31:25
"2103000",5196.769,14.864,2022-03-27 23:20:55
"2103000",5196.769,1.85,2022-03-27 23:35:12
"2103208",3247.384,0.444,2022-03-27 23:37:16
"2103208",3247.384,0.281,2022-03-27 23:37:50
"2103208",3247.384,0.287,2022-03-27 23:38:15
"2103208",3247.384,0.625,2022-03-27 23:38:48
"2103208",3247.384,2.9,2022-03-27 23:39:33
"2103208",3247.384,2.349,2022-03-27 23:42:41
"2103000",5196.769,10.936,2022-03-27 23:36:09
"2103208",3247.384,2.052,2022-03-27 23:47:14
"2103208",3247.384,3.579,2022-03-27 23:45:50
"2103208",3247.384,2.476,2022-03-27 23:49:26
"2103208",3247.384,3.633,2022-03-27 23:49:26
"2103208",3247.384,1.056,2022-03-27 23:53:14
"2103208",3247.384,5.556,2022-03-27 23:54:18
"2103208",3247.384,8.125,2022-03-27 23:52:06
"2103208",3247.384,1.306,2022-03-28 00:00:30
"2103208",3247.384,1.787,2022-03-28 00:00:31
"2103208",3247.384,1.851,2022-03-28 00:02:26
"2103208",3247.384,0.641,2022-03-28 00:04:24
