"CD_MUN","AREA_KM2","time_taken_min","adt_start"
"5108501",2953.978,0.508,2022-03-28 20:15:36
"5108501",2953.978,0.37,2022-03-28 20:16:07
"5108501",2953.978,0.408,2022-03-28 20:16:29
"5108501",2953.978,0.268,2022-03-28 20:16:54
"5108501",2953.978,0.176,2022-03-28 20:17:10
"5108501",2953.978,0.169,2022-03-28 20:17:21
"5108501",2953.978,0.21,2022-03-28 20:17:31
"5108501",2953.978,0.152,2022-03-28 20:17:43
"5108501",2953.978,0.174,2022-03-28 20:17:52
"5108501",2953.978,0.223,2022-03-28 20:18:03
"5108501",2953.978,0.271,2022-03-28 20:18:16
"5108501",2953.978,0.186,2022-03-28 20:18:32
"5108501",2953.978,0.164,2022-03-28 20:18:44
"5108501",2953.978,0.619,2022-03-28 20:18:54
"5108501",2953.978,0.358,2022-03-28 20:19:31
"5108501",2953.978,0.252,2022-03-28 20:19:52
"5108501",2953.978,0.706,2022-03-28 20:20:07
"5108501",2953.978,0.283,2022-03-28 20:20:50
"5108501",2953.978,0.331,2022-03-28 20:21:07
"5108501",2953.978,0.164,2022-03-28 20:21:26
"5108501",2953.978,0.156,2022-03-28 20:21:36
"5108501",2953.978,0.253,2022-03-28 20:21:46
"5108501",2953.978,0.263,2022-03-28 20:22:01
"5108501",2953.978,0.236,2022-03-28 20:22:17
"5108501",2953.978,0.172,2022-03-28 20:22:31
"5108501",2953.978,0.184,2022-03-28 20:22:41
"5108501",2953.978,0.159,2022-03-28 20:22:52
"5108501",2953.978,0.149,2022-03-28 20:23:02
"5108501",2953.978,0.157,2022-03-28 20:23:11
"5108501",2953.978,0.26,2022-03-28 20:23:20
"5108501",2953.978,0.199,2022-03-28 20:23:36
"1100114",2944.128,0.76,2022-03-28 20:23:48
"1100114",2944.128,1.388,2022-03-28 20:24:38
"1100114",2944.128,1.364,2022-03-28 20:26:02
"1100114",2944.128,0.888,2022-03-28 20:27:24
"1100114",2944.128,1.037,2022-03-28 20:28:17
"1100114",2944.128,0.991,2022-03-28 20:29:19
"1100114",2944.128,0.926,2022-03-28 20:30:22
"1100114",2944.128,1.565,2022-03-28 20:31:18
"1100114",2944.128,1.054,2022-03-28 20:32:52
"1100114",2944.128,1.217,2022-03-28 20:33:56
"1100114",2944.128,1.902,2022-03-28 20:35:09
"1100114",2944.128,0.803,2022-03-28 20:37:03
"1100114",2944.128,0.604,2022-03-28 20:38:02
"1100114",2944.128,0.793,2022-03-28 20:38:39
"1100114",2944.128,0.729,2022-03-28 20:39:32
"1100114",2944.128,0.823,2022-03-28 20:40:16
"1100114",2944.128,0.868,2022-03-28 20:41:05
"1100114",2944.128,0.806,2022-03-28 20:41:57
"1100114",2944.128,0.672,2022-03-28 20:42:46
"1100114",2944.128,1.23,2022-03-28 20:43:26
"1100114",2944.128,0.929,2022-03-28 20:44:40
"1100114",2944.128,0.777,2022-03-28 20:45:36
"1100114",2944.128,0.806,2022-03-28 20:46:23
"1100114",2944.128,0.985,2022-03-28 20:47:11
"1100114",2944.128,1.236,2022-03-28 20:48:10
"1100114",2944.128,2.023,2022-03-28 20:49:25
"1100114",2944.128,1.818,2022-03-28 20:51:27
"1100114",2944.128,1.125,2022-03-28 20:53:17
"1100114",2944.128,1.437,2022-03-28 20:54:25
"1100114",2944.128,1.081,2022-03-28 20:55:51
"1100114",2944.128,1.742,2022-03-28 20:56:58
"1100114",2944.128,1.524,2022-03-28 20:58:44
"1100114",2944.128,1.204,2022-03-28 21:00:15
"1100114",2944.128,2.162,2022-03-28 21:01:28
"1100114",2944.128,1.957,2022-03-28 21:03:38
"1100114",2944.128,1.94,2022-03-28 21:06:31
"1502301",2901.026,0.636,2022-03-28 21:08:28
"1502301",2901.026,0.906,2022-03-28 21:09:07
"1502301",2901.026,1.193,2022-03-28 21:10:02
"1502301",2901.026,1.023,2022-03-28 21:11:15
"1502301",2901.026,0.595,2022-03-28 21:12:16
"1502301",2901.026,0.7,2022-03-28 21:12:53
"1502301",2901.026,0.507,2022-03-28 21:13:35
"1502301",2901.026,0.49,2022-03-28 21:14:06
"1502301",2901.026,0.921,2022-03-28 21:14:36
"1502301",2901.026,0.602,2022-03-28 21:15:50
"1502301",2901.026,0.32,2022-03-28 21:16:26
"1502301",2901.026,0.769,2022-03-28 21:16:45
"1502301",2901.026,1.288,2022-03-28 21:17:31
"1502301",2901.026,1.955,2022-03-28 21:18:52
"1502301",2901.026,1.441,2022-03-28 21:20:53
"1502301",2901.026,1.951,2022-03-28 21:22:20
"1502301",2901.026,1.462,2022-03-28 21:24:18
"1502301",2901.026,0.781,2022-03-28 21:25:46
"1502301",2901.026,0.673,2022-03-28 21:26:33
"1502301",2901.026,0.832,2022-03-28 21:27:13
"1502301",2901.026,0.873,2022-03-28 21:28:04
"1502301",2901.026,0.869,2022-03-28 21:28:56
"1502301",2901.026,1.269,2022-03-28 21:29:48
"1502301",2901.026,0.45,2022-03-28 21:31:05
"1502301",2901.026,0.703,2022-03-28 21:31:32
"1502301",2901.026,0.792,2022-03-28 21:32:15
"1502301",2901.026,0.723,2022-03-28 21:33:02
"1502301",2901.026,2.619,2022-03-28 21:33:49
"1502301",2901.026,2.204,2022-03-28 21:36:27
"1502301",2901.026,1.205,2022-03-28 21:38:41
"1502301",2901.026,1.058,2022-03-28 21:39:53
"1502301",2901.026,0.971,2022-03-28 21:40:57
"1502301",2901.026,1.108,2022-03-28 21:41:56
"1502301",2901.026,1.287,2022-03-28 21:43:03
"1502301",2901.026,0.933,2022-03-28 21:44:21
"1502301",2901.026,0.65,2022-03-28 21:45:17
"5104542",2898.073,0.394,2022-03-28 21:45:56
"5104542",2898.073,0.241,2022-03-28 21:46:20
"5104542",2898.073,0.138,2022-03-28 21:46:34
"5104542",2898.073,0.145,2022-03-28 21:46:43
"5104542",2898.073,0.14,2022-03-28 21:46:51
"5104542",2898.073,0.114,2022-03-28 21:47:00
"5104542",2898.073,0.12,2022-03-28 21:47:07
"5104542",2898.073,0.132,2022-03-28 21:47:14
"5104542",2898.073,0.132,2022-03-28 21:47:22
"5104542",2898.073,0.215,2022-03-28 21:47:30
"5104542",2898.073,0.126,2022-03-28 21:47:43
"5104542",2898.073,0.109,2022-03-28 21:47:50
"5104542",2898.073,0.113,2022-03-28 21:47:57
"5104542",2898.073,0.107,2022-03-28 21:48:04
"5104542",2898.073,0.114,2022-03-28 21:48:10
