system:index,area,band,class,class_name,.geo
0_0_0,0.22343952368164063,classification_1985,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,154614.2285663845,classification_1985,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,894.0813493329582,classification_1985,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,3.973850152221679,classification_1985,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,1322.489539060302,classification_1985,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,968.2616234179059,classification_1985,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,0.3810650104370119,classification_1985,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,1729.1043757903392,classification_1985,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.45833266308593734,classification_1985,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,0.2145526817626953,classification_1986,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,154880.86632222455,classification_1986,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,908.3289900915634,classification_1986,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,3.9235464285888653,classification_1986,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,1309.15156164673,classification_1986,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,693.0102924778987,classification_1986,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,11.25198822674561,classification_1986,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,1726.2266114412828,classification_1986,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,0.22827611651611324,classification_1986,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,0.2145652261962891,classification_1987,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,154877.64829933658,classification_1987,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,905.289389627513,classification_1987,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,3.950998169677734,classification_1987,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_4,1313.723593527106,classification_1987,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_5,697.8643849287438,classification_1987,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_6,12.169909253906253,classification_1987,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_7,1722.2305474563018,classification_1987,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_8,0.11045380957031249,classification_1987,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,0.22344584509277346,classification_1988,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,154832.7873269057,classification_1988,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_2,893.2214423917975,classification_1988,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_3,3.862500746520996,classification_1988,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_4,1276.285950660952,classification_1988,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_5,753.8858064712842,classification_1988,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_6,13.922105190429495,classification_1988,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_7,1758.9092997729506,classification_1988,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_8,0.10426335052490235,classification_1988,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,0.21096859826660158,classification_1989,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,154829.91714792908,classification_1989,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_2,890.5242960076421,classification_1989,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_3,3.8315217991333004,classification_1989,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_4,1286.0513490874082,classification_1989,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_5,761.9272866986959,classification_1989,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_6,14.566440617492344,classification_1989,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_7,1745.9945858041924,classification_1989,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_8,0.17854479357910147,classification_1989,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,0.2030319781494141,classification_1990,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_1,154773.36280137685,classification_1990,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_2,905.2149516227557,classification_1990,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_3,3.8077496416625967,classification_1990,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_4,1264.3285896112898,classification_1990,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5,812.6968545310142,classification_1990,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_6,14.75295332720912,classification_1990,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_7,1758.7450485308862,classification_1990,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_8,0.09016071612548827,classification_1990,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,0.20742303356933597,classification_1991,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
